Potential applied (V);Time (s);WE(1).Current (A);Scan;Index;WE(1).Potential (V)
0.002288818359375;38.8617899018834;-1.014404296875E-05;1;633;0.002593994140625
0.005340576171875;38.8923079018064;-1.0113525390625E-05;1;634;0.005615234375
0.008392333984375;38.9228259017293;-1.00860595703125E-05;1;635;0.0086639404296875
0.011444091796875;38.9533439016523;-1.00555419921875E-05;1;636;0.01173095703125
0.014495849609375;38.9838619015752;-1.00250244140625E-05;1;637;0.014764404296875
0.017547607421875;39.0143799014982;-1.00006103515625E-05;1;638;0.0178436279296875
0.020599365234375;39.0448979014211;-9.967041015625E-06;1;639;0.0208892822265625
0.023651123046875;39.0754159013441;-9.9395751953125E-06;1;640;0.0239471435546875
0.026702880859375;39.105933901267;-9.9029541015625E-06;1;641;0.0269805908203125
0.029754638671875;39.13645190119;-9.8724365234375E-06;1;642;0.03006591796875
0.032806396484375;39.1669699011129;-9.8388671875E-06;1;643;0.0330902099609375
0.035858154296875;39.1974879010359;-9.808349609375E-06;1;644;0.0361236572265625
0.038909912109375;39.2280059009588;-9.77783203125E-06;1;645;0.0391998291015625
0.041961669921875;39.2585239008818;-9.7442626953125E-06;1;646;0.0422149658203125
0.045013427734375;39.2890419008047;-9.70458984375E-06;1;647;0.0452850341796875
0.048065185546875;39.3195599007277;-9.6710205078125E-06;1;648;0.04832763671875
0.051116943359375;39.3500779006506;-9.6343994140625E-06;1;649;0.05120849609375
0.054168701171875;39.3805959005736;-9.5977783203125E-06;1;650;0.054168701171875
0.057220458984375;39.4111139004965;-9.5550537109375E-06;1;651;0.05731201171875
0.060272216796875;39.4416319004195;-9.5184326171875E-06;1;652;0.060302734375
0.063323974609375;39.4721499003424;-9.47265625E-06;1;653;0.063385009765625
0.066375732421875;39.5026679002654;-9.429931640625E-06;1;654;0.066436767578125
0.069427490234375;39.5331859001883;-9.381103515625E-06;1;655;0.069488525390625
0.072479248046875;39.5637039001113;-9.332275390625E-06;1;656;0.072509765625
0.075531005859375;39.5942219000342;-9.283447265625E-06;1;657;0.0755615234375
0.078582763671875;39.6247398999571;-9.234619140625E-06;1;658;0.078643798828125
0.081634521484375;39.6552578998801;-9.173583984375E-06;1;659;0.081634521484375
0.084686279296875;39.685775899803;-9.112548828125E-06;1;660;0.08477783203125
0.087738037109375;39.716293899726;-9.0545654296875E-06;1;661;0.087738037109375
0.090789794921875;39.7468118996489;-8.9874267578125E-06;1;662;0.090850830078125
0.093841552734375;39.7773298995719;-8.917236328125E-06;1;663;0.0938720703125
0.096893310546875;39.8078478994948;-8.843994140625E-06;1;664;0.096923828125
0.099945068359375;39.8383658994178;-8.7738037109375E-06;1;665;0.100067138671875
0.102996826171875;39.8688838993407;-8.6883544921875E-06;1;666;0.10308837890625
0.106048583984375;39.8994018992637;-8.6029052734375E-06;1;667;0.10614013671875
0.109100341796875;39.9299198991866;-8.5113525390625E-06;1;668;0.109100341796875
0.112152099609375;39.9604378991096;-8.4228515625E-06;1;669;0.11224365234375
0.115203857421875;39.9909558990325;-8.3160400390625E-06;1;670;0.115264892578125
0.118255615234375;40.0214738989555;-8.209228515625E-06;1;671;0.11834716796875
0.121307373046875;40.0519918988784;-8.099365234375E-06;1;672;0.12139892578125
0.124359130859375;40.0825098988014;-7.97119140625E-06;1;673;0.124420166015625
0.127410888671875;40.1130278987243;-7.8460693359375E-06;1;674;0.127471923828125
0.130462646484375;40.1435458986473;-7.7056884765625E-06;1;675;0.13055419921875
0.133514404296875;40.1740638985702;-7.5714111328125E-06;1;676;0.13360595703125
0.136566162109375;40.2045818984932;-7.415771484375E-06;1;677;0.13665771484375
0.139617919921875;40.2350998984161;-7.244873046875E-06;1;678;0.139678955078125
0.142669677734375;40.2656178983391;-7.0648193359375E-06;1;679;0.142791748046875
0.145721435546875;40.296135898262;-6.8817138671875E-06;1;680;0.145843505859375
0.148773193359375;40.326653898185;-6.6864013671875E-06;1;681;0.14892578125
0.151824951171875;40.3571718981079;-6.4727783203125E-06;1;682;0.1519775390625
0.154876708984375;40.3876898980309;-6.2408447265625E-06;1;683;0.154937744140625
0.157928466796875;40.4182078979538;-5.9906005859375E-06;1;684;0.15802001953125
0.160980224609375;40.4487258978768;-5.74951171875E-06;1;685;0.161102294921875
0.164031982421875;40.4792438977997;-5.462646484375E-06;1;686;0.1640625
0.167083740234375;40.5097618977227;-5.16357421875E-06;1;687;0.167205810546875
0.170135498046875;40.5402798976456;-4.84619140625E-06;1;688;0.1702880859375
0.173187255859375;40.5707978975686;-4.505615234375E-06;1;689;0.173309326171875
0.176239013671875;40.6013158974915;-4.1265869140625E-06;1;690;0.176361083984375
0.179290771484375;40.6318338974145;-3.7213134765625E-06;1;691;0.17950439453125
0.182342529296875;40.6623518973374;-3.28643798828125E-06;1;692;0.1824951171875
0.185394287109375;40.6928698972604;-2.8125E-06;1;693;0.18511962890625
0.188446044921875;40.7233878971833;-2.27874755859375E-06;1;694;0.188323974609375
0.191497802734375;40.7539058971063;-1.73248291015625E-06;1;695;0.191497802734375
0.194549560546875;40.7844238970292;-1.1309814453125E-06;1;696;0.19464111328125
0.197601318359375;40.8149418969522;-4.8828125E-07;1;697;0.1978759765625
0.200653076171875;40.8454598968751;2.4078369140625E-07;1;698;0.20098876953125
0.203704833984375;40.8759778967981;1.01104736328125E-06;1;699;0.20416259765625
0.206756591796875;40.906495896721;1.87713623046875E-06;1;700;0.207275390625
0.209808349609375;40.937013896644;2.783203125E-06;1;701;0.210540771484375
0.212860107421875;40.9675318965669;3.7921142578125E-06;1;702;0.2138671875
0.215911865234375;40.9980498964899;4.8541259765625E-06;1;703;0.21697998046875
0.218963623046875;41.0285678964128;6.0516357421875E-06;1;704;0.22027587890625
0.222015380859375;41.0590858963358;7.32421875E-06;1;705;0.222381591796875
0.225067138671875;41.0896038962587;8.746337890625E-06;1;706;0.22540283203125
0.228118896484375;41.1201218961817;1.024169921875E-05;1;707;0.22857666015625
0.231170654296875;41.1506398961046;1.187744140625E-05;1;708;0.231597900390625
0.234222412109375;41.1811578960276;1.36474609375E-05;1;709;0.234710693359375
0.237274169921875;41.2116758959505;1.5631103515625E-05;1;710;0.237762451171875
0.240325927734375;41.2421938958735;1.77642822265625E-05;1;711;0.2408447265625
0.243377685546875;41.2727118957964;2.0135498046875E-05;1;712;0.243988037109375
0.246429443359375;41.3032298957194;2.271728515625E-05;1;713;0.2470703125
0.249481201171875;41.3337478956423;2.54669189453125E-05;1;714;0.250213623046875
0.252532958984375;41.3642658955653;2.84332275390625E-05;1;715;0.253265380859375
0.255584716796875;41.3947838954882;3.15582275390625E-05;1;716;0.256378173828125
0.258636474609375;41.4253018954112;3.4747314453125E-05;1;717;0.259429931640625
0.261688232421875;41.4558198953341;3.79425048828125E-05;1;718;0.2625732421875
0.264739990234375;41.4863378952571;4.1094970703125E-05;1;719;0.265655517578125
0.267791748046875;41.51685589518;4.41436767578125E-05;1;720;0.268798828125
0.270843505859375;41.547373895103;4.71038818359375E-05;1;721;0.271942138671875
0.273895263671875;41.5778918950259;4.99298095703125E-05;1;722;0.274993896484375
0.276947021484375;41.6084098949489;5.25421142578125E-05;1;723;0.278106689453125
0.279998779296875;41.6389278948718;5.49346923828125E-05;1;724;0.28118896484375
0.283050537109375;41.6694458947948;5.70465087890625E-05;2;725;0.28424072265625
0.286102294921875;41.6999638947177;5.892333984375E-05;2;726;0.287384033203125
0.289154052734375;41.7304818946407;6.05621337890625E-05;2;727;0.290435791015625
0.292205810546875;41.7609998945636;6.1767578125E-05;2;728;0.29254150390625
0.295257568359375;41.7915178944866;6.2835693359375E-05;2;729;0.295562744140625
0.298309326171875;41.8220358944095;6.3629150390625E-05;2;730;0.298553466796875
0.301361083984375;41.8525538943325;6.4178466796875E-05;2;731;0.301727294921875
0.304412841796875;41.8830718942554;6.4453125E-05;2;732;0.3046875
0.307464599609375;41.9135898941784;6.4544677734375E-05;2;733;0.307769775390625
0.310516357421875;41.9441078941013;6.4422607421875E-05;2;734;0.310821533203125
0.313568115234375;41.9746258940243;6.4208984375E-05;2;735;0.313873291015625
0.316619873046875;42.0051438939472;6.3751220703125E-05;2;736;0.31695556640625
0.319671630859375;42.0356618938702;6.317138671875E-05;2;737;0.3199462890625
0.322723388671875;42.0661798937931;6.2469482421875E-05;2;738;0.32305908203125
0.325775146484375;42.0966978937161;6.170654296875E-05;2;739;0.32611083984375
0.328826904296875;42.127215893639;6.0882568359375E-05;2;740;0.32916259765625
0.331878662109375;42.157733893562;5.9967041015625E-05;2;741;0.332183837890625
0.334930419921875;42.1882518934849;5.8990478515625E-05;2;742;0.335235595703125
0.337982177734375;42.2187698934079;5.8013916015625E-05;2;743;0.338348388671875
0.341033935546875;42.2492878933308;5.6976318359375E-05;2;744;0.341339111328125
0.344085693359375;42.2798058932538;5.5908203125E-05;2;745;0.34442138671875
0.347137451171875;42.3103238931767;5.487060546875E-05;2;746;0.347442626953125
0.350189208984375;42.3408418930997;5.3802490234375E-05;2;747;0.350555419921875
0.353240966796875;42.3713598930226;5.2734375E-05;2;748;0.353546142578125
0.356292724609375;42.4018778929455;5.169677734375E-05;2;749;0.356597900390625
0.359344482421875;42.4323958928685;5.06591796875E-05;2;750;0.359619140625
0.362396240234375;42.4629138927914;4.9652099609375E-05;2;751;0.36273193359375
0.365447998046875;42.4934318927144;4.8699951171875E-05;2;752;0.365814208984375
0.368499755859375;42.5239498926373;4.7747802734375E-05;2;753;0.368804931640625
0.371551513671875;42.5544678925603;4.6820068359375E-05;2;754;0.37188720703125
0.374603271484375;42.5849858924832;4.58984375E-05;2;755;0.37493896484375
0.377655029296875;42.6155038924062;4.5074462890625E-05;2;756;0.37884521484375
0.380706787109375;42.6460218923291;4.42230224609375E-05;2;757;0.38165283203125
0.383758544921875;42.6765398922521;4.339599609375E-05;2;758;0.38470458984375
0.386810302734375;42.707057892175;4.25994873046875E-05;2;759;0.3878173828125
0.389862060546875;42.737575892098;4.18182373046875E-05;2;760;0.390838623046875
0.392913818359375;42.7680938920209;4.10675048828125E-05;2;761;0.393890380859375
0.395965576171875;42.7986118919439;4.03289794921875E-05;2;762;0.39691162109375
0.399017333984375;42.8291298918668;3.9630126953125E-05;2;763;0.39996337890625
0.402069091796875;42.8596478917898;3.895263671875E-05;2;764;0.402984619140625
0.405120849609375;42.8901658917127;3.83026123046875E-05;2;765;0.406005859375
0.408172607421875;42.9206838916357;3.76739501953125E-05;2;766;0.409027099609375
0.411224365234375;42.9512018915586;3.7060546875E-05;2;767;0.412078857421875
0.414276123046875;42.9817198914816;3.646240234375E-05;2;768;0.4151611328125
0.417327880859375;43.0122378914045;3.5894775390625E-05;2;769;0.41815185546875
0.420379638671875;43.0427558913275;3.5345458984375E-05;2;770;0.421234130859375
0.423431396484375;43.0732738912504;3.48114013671875E-05;2;771;0.424285888671875
0.426483154296875;43.1037918911734;3.4307861328125E-05;2;772;0.4273681640625
0.429534912109375;43.1343098910963;3.380126953125E-05;2;773;0.43035888671875
0.432586669921875;43.1648278910193;3.3306884765625E-05;2;774;0.433349609375
0.435638427734375;43.1953458909422;3.28460693359375E-05;2;775;0.436492919921875
0.438690185546875;43.2258638908652;3.238525390625E-05;2;776;0.439483642578125
0.441741943359375;43.2563818907881;3.1951904296875E-05;2;777;0.44256591796875
0.444793701171875;43.2868998907111;3.153076171875E-05;2;778;0.44549560546875
0.447845458984375;43.317417890634;3.111572265625E-05;2;779;0.448638916015625
0.450897216796875;43.347935890557;3.0712890625E-05;2;780;0.45159912109375
0.453948974609375;43.3784538904799;3.0328369140625E-05;2;781;0.4547119140625
0.457000732421875;43.4089718904029;2.9949951171875E-05;2;782;0.457763671875
0.460052490234375;43.4394898903258;2.95928955078125E-05;2;783;0.460784912109375
0.463104248046875;43.4700078902488;2.9229736328125E-05;2;784;0.46392822265625
0.466156005859375;43.5005258901717;2.88787841796875E-05;2;785;0.46685791015625
0.469207763671875;43.5310438900947;2.8533935546875E-05;2;786;0.469940185546875
0.472259521484375;43.5615618900176;2.82135009765625E-05;2;787;0.47296142578125
0.475311279296875;43.5920798899406;2.789306640625E-05;2;788;0.47601318359375
0.478363037109375;43.6225978898635;2.75787353515625E-05;2;789;0.479034423828125
0.481414794921875;43.6531158897865;2.7276611328125E-05;2;790;0.48211669921875
0.484466552734375;43.6836338897094;2.69805908203125E-05;2;791;0.485198974609375
0.487518310546875;43.7141518896324;2.6690673828125E-05;2;792;0.48822021484375
0.490570068359375;43.7446698895553;2.63946533203125E-05;2;793;0.491302490234375
0.493621826171875;43.7751878894783;2.6116943359375E-05;2;794;0.494354248046875
0.496673583984375;43.8057058894012;2.584228515625E-05;2;795;0.497344970703125
0.499725341796875;43.8362238893242;2.55828857421875E-05;2;796;0.500396728515625
0.502777099609375;43.8667418892471;2.53082275390625E-05;2;797;0.503448486328125
0.505828857421875;43.8972598891701;2.50396728515625E-05;2;798;0.5064697265625
0.508880615234375;43.927777889093;2.47833251953125E-05;2;799;0.509521484375
0.511932373046875;43.958295889016;2.45330810546875E-05;2;800;0.512603759765625
0.514984130859375;43.9888138889389;2.42889404296875E-05;2;801;0.515594482421875
0.518035888671875;44.0193318888619;2.40447998046875E-05;2;802;0.518707275390625
0.521087646484375;44.0498498887848;2.38006591796875E-05;2;803;0.521728515625
0.524139404296875;44.0803678887078;2.35565185546875E-05;2;804;0.524749755859375
0.527191162109375;44.1108858886307;2.33184814453125E-05;2;805;0.527862548828125
0.530242919921875;44.1414038885537;2.3089599609375E-05;2;806;0.53082275390625
0.533294677734375;44.1719218884766;2.28668212890625E-05;2;807;0.533905029296875
0.536346435546875;44.2024398883996;2.264404296875E-05;2;808;0.5369873046875
0.539398193359375;44.2329578883225;2.24273681640625E-05;2;809;0.540008544921875
0.542449951171875;44.2634758882455;2.22076416015625E-05;2;810;0.5430908203125
0.545501708984375;44.2939938881684;2.19970703125E-05;2;811;0.546173095703125
0.548553466796875;44.3245118880914;2.178955078125E-05;2;812;0.54913330078125
0.551605224609375;44.3550298880143;2.158203125E-05;2;813;0.55218505859375
0.554656982421875;44.3855478879373;2.13897705078125E-05;2;814;0.555206298828125
0.557708740234375;44.4160658878602;2.119140625E-05;2;815;0.55828857421875
0.560760498046875;44.4465838877832;2.10052490234375E-05;2;816;0.56134033203125
0.563812255859375;44.4771018877061;2.081298828125E-05;2;817;0.564453125
0.566864013671875;44.5076198876291;2.06329345703125E-05;2;818;0.56744384765625
0.569915771484375;44.538137887552;2.0452880859375E-05;2;819;0.57049560546875
0.572967529296875;44.568655887475;2.02911376953125E-05;2;820;0.57354736328125
0.576019287109375;44.5991738873979;2.01202392578125E-05;2;821;0.576568603515625
0.579071044921875;44.6296918873209;1.99554443359375E-05;2;822;0.579681396484375
0.582122802734375;44.6602098872438;1.97967529296875E-05;2;823;0.58270263671875
0.585174560546875;44.6907278871668;1.9635009765625E-05;2;824;0.58575439453125
0.588226318359375;44.7212458870897;1.949462890625E-05;2;825;0.588836669921875
0.591278076171875;44.7517638870127;1.93389892578125E-05;2;826;0.59185791015625
0.594329833984375;44.7822818869356;1.9189453125E-05;2;827;0.594879150390625
0.597381591796875;44.8127998868586;1.9049072265625E-05;2;828;0.597900390625
0.600433349609375;44.8433178867815;1.89117431640625E-05;2;829;0.60101318359375
0.603485107421875;44.8738358867045;1.8780517578125E-05;2;830;0.60406494140625
0.606536865234375;44.9043538866274;1.86431884765625E-05;2;831;0.607086181640625
0.609588623046875;44.9348718865504;1.8511962890625E-05;2;832;0.610076904296875
0.612640380859375;44.9653898864733;1.83746337890625E-05;2;833;0.613189697265625
0.615692138671875;44.9959078863963;1.82525634765625E-05;2;834;0.6162109375
0.618743896484375;45.0264258863192;1.81243896484375E-05;2;835;0.619293212890625
0.621795654296875;45.0569438862422;1.80023193359375E-05;2;836;0.622314453125
0.624847412109375;45.0874618861651;1.78802490234375E-05;2;837;0.62542724609375
0.627899169921875;45.1179798860881;1.776123046875E-05;2;838;0.628448486328125
0.630950927734375;45.148497886011;1.763916015625E-05;2;839;0.6314697265625
0.634002685546875;45.179015885934;1.75262451171875E-05;2;840;0.63458251953125
0.637054443359375;45.2095338858569;1.74041748046875E-05;2;841;0.637603759765625
0.640106201171875;45.2400518857798;1.729736328125E-05;2;842;0.640655517578125
0.643157958984375;45.2705698857028;1.71844482421875E-05;2;843;0.64361572265625
0.646209716796875;45.3010878856257;1.70745849609375E-05;2;844;0.646697998046875
0.649261474609375;45.3316058855487;1.6961669921875E-05;2;845;0.649810791015625
0.652313232421875;45.3621238854716;1.68548583984375E-05;2;846;0.652862548828125
0.655364990234375;45.3926418853946;1.67449951171875E-05;2;847;0.6558837890625
0.658416748046875;45.4231598853175;1.6656494140625E-05;2;848;0.658935546875
0.661468505859375;45.4536778852405;1.6558837890625E-05;2;849;0.6619873046875
0.664520263671875;45.4841958851634;1.6455078125E-05;2;850;0.665069580078125
0.667572021484375;45.5147138850864;1.6363525390625E-05;2;851;0.668060302734375
0.670623779296875;45.5452318850093;1.627197265625E-05;2;852;0.67108154296875
0.673675537109375;45.5757498849323;1.6180419921875E-05;2;853;0.6741943359375
0.676727294921875;45.6062678848552;1.61041259765625E-05;2;854;0.67718505859375
0.679779052734375;45.6367858847782;1.60186767578125E-05;2;855;0.6802978515625
0.682830810546875;45.6673038847011;1.59393310546875E-05;2;856;0.683349609375
0.685882568359375;45.6978218846241;1.5869140625E-05;2;857;0.686431884765625
0.688934326171875;45.728339884547;1.5802001953125E-05;2;858;0.689422607421875
0.691986083984375;45.75885788447;1.5740966796875E-05;2;859;0.6925048828125
0.695037841796875;45.7893758843929;1.5673828125E-05;2;860;0.695465087890625
0.698089599609375;45.8198938843159;1.5631103515625E-05;2;861;0.6986083984375
0.701141357421875;45.8504118842388;1.558837890625E-05;2;862;0.70166015625
0.704193115234375;45.8809298841618;1.5557861328125E-05;2;863;0.704742431640625
0.707244873046875;45.9114478840847;1.5521240234375E-05;2;864;0.707733154296875
0.710296630859375;45.9419658840077;1.54998779296875E-05;2;865;0.710784912109375
0.713348388671875;45.9724838839306;1.5478515625E-05;2;866;0.713836669921875
0.716400146484375;46.0030018838536;1.5460205078125E-05;2;867;0.7169189453125
0.719451904296875;46.0335198837765;1.5447998046875E-05;2;868;0.719940185546875
0.722503662109375;46.0640378836995;1.54296875E-05;2;869;0.7230224609375
0.725555419921875;46.0945558836224;1.541748046875E-05;2;870;0.72607421875
0.728607177734375;46.1250738835454;1.5423583984375E-05;2;871;0.729095458984375
0.731658935546875;46.1555918834683;1.54296875E-05;2;872;0.732177734375
0.734710693359375;46.1861098833913;1.54510498046875E-05;2;873;0.73516845703125
0.737762451171875;46.2166278833142;1.54754638671875E-05;2;874;0.738311767578125
0.740814208984375;46.2471458832372;1.5509033203125E-05;2;875;0.741363525390625
0.743865966796875;46.2776638831601;1.55548095703125E-05;2;876;0.74432373046875
0.746917724609375;46.3081818830831;1.561279296875E-05;2;877;0.747467041015625
0.749969482421875;46.338699883006;1.568603515625E-05;2;878;0.74951171875
0.753021240234375;46.369217882929;1.5771484375E-05;2;879;0.75347900390625
0.756072998046875;46.3997358828519;1.5863037109375E-05;2;880;0.755615234375
0.759124755859375;46.4302538827749;1.59698486328125E-05;2;881;0.75897216796875
0.762176513671875;46.4607718826978;1.60919189453125E-05;2;882;0.76171875
0.765228271484375;46.4912898826208;1.62322998046875E-05;2;883;0.7647705078125
0.768280029296875;46.5218078825437;1.63848876953125E-05;2;884;0.76751708984375
0.771331787109375;46.5523258824667;1.65679931640625E-05;2;885;0.77178955078125
0.774383544921875;46.5828438823896;1.6754150390625E-05;2;886;0.77362060546875
0.777435302734375;46.6133618823126;1.6973876953125E-05;2;887;0.77667236328125
0.780487060546875;46.6438798822355;1.71966552734375E-05;2;888;0.780029296875
0.783538818359375;46.6743978821585;1.74591064453125E-05;2;889;0.7830810546875
0.786590576171875;46.7049158820814;1.77276611328125E-05;2;890;0.78643798828125
0.789642333984375;46.7354338820044;1.802978515625E-05;2;891;0.7891845703125
0.792694091796875;46.7659518819273;1.8359375E-05;2;892;0.792236328125
0.795745849609375;46.7964698818503;1.87103271484375E-05;2;893;0.7952880859375
0.798797607421875;46.8269878817732;1.9091796875E-05;2;894;0.7977294921875
